YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,52578,2017001440082,1,48,0,2017000525781,0.679,4,13,125,12504,4,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,48,0,12,1270,1,93,5,1,100,0,0,4,400,0,0,7,71,0,0,3,30,1,999,0,0,0,0,0,0,0,0,4,0
2017,201701,205982,2017001427431,1,25,0,2017002059821,0.679,6,67,6708,670806,4,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,25,0,12,1270,1,54,6,1,100,0,0,39,3900,0,0,6,63,0,0,1,10,2,534,2,22,1,40,0,8600,27,0,4,4
2017,201701,749516,2017000606895,2,82,9,2017007495161,0.679,31,55,901,90131,1,2,22,1300,1920,9993,100000,9999999,6,6,3,4,4,3,1,81,0,1,101,2,31,6,1,100,0,0,31,3100,0,0,10,101,62,6206,1,10,2,313,2,22,6,40,0,50000,61,3,0,0
2017,201701,457487,2017001238413,5,81,1,2017004574871,0.679,17,31,3411,341117,1,1,13,0,1680,1320,73400,60000,6,3,3,3,2,1,5,117,0,12,1260,2,60,6,1,100,0,0,17,1700,0,0,0,2,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1087499,2017001201752,1,80,4,2017010874991,0.679,42,0,3800,380042,1,1,13,0,480,480,0,140000,6,3,3,4,2,2,1,80,0,1,101,1,56,6,1,100,0,0,42,4200,0,0,11,114,55,5506,3,30,1,999,0,0,0,0,0,0,0,5,4,4
2017,201701,4399,2017000316145,2,41,1,2017000043991,0.679,1,0,2500,250001,1,1,13,0,2400,240,120500,375000,8,19,3,5,4,2,2,53,0,2,201,2,59,1,1,100,0,0,210,21050,2,2000,8,81,0,0,1,10,2,204,2,25,6,40,0,75000,48,0,0,4
2017,201701,656667,2017000873517,3,350,1,2017006566671,0.679,26,147,3100,310026,1,2,22,450,960,1200,23800,9999999,5,10,3,4,4,2,2,503,1,2,201,2,28,1,1,100,0,0,26,2600,0,0,10,101,52,5200,3,30,1,156,2,28,2,40,0,20000,72,0,0,4
2017,201701,665883,2017001195802,2,109,3,2017006658831,0.679,26,81,1002,100226,1,1,12,0,360,120,17300,75000,7,1,3,5,2,1,1,109,1,1,101,2,49,6,7,700,1,100,200,20000,1,1999,3,30,0,0,3,30,1,999,0,0,0,0,0,0,0,4,0,0
2017,201701,748601,2017000446406,2,106,9,2017007486011,0.679,31,109,801,80131,1,2,22,470,840,1320,52200,9999999,5,3,3,4,2,2,1,106,0,1,101,2,75,4,1,100,0,0,31,3100,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,7,0,0
2017,201701,74320,2017000063064,4,56,1,2017000743201,0.679,6,37,3739,373906,1,1,13,0,600,600,193000,600000,4,4,3,4,2,2,2,55,2,2,201,2,44,1,4,400,0,0,500,50040,2,1983,10,101,62,6203,1,10,2,174,2,23,6,36,0,93000,64,0,0,0
2017,201701,1049182,2017000162130,2,135,1,2017010491821,0.679,42,3,1701,170142,1,1,13,0,1080,2160,116500,350000,9,1,3,5,2,2,1,135,0,1,101,1,57,1,1,100,0,0,42,4200,0,0,7,71,0,0,1,10,2,22,1,14,6,42,0,46800,68,7,0,0
2017,201701,1271313,2017001506807,1,8,0,2017012713131,0.679,48,0,3900,390048,3,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,8,0,13,1301,1,30,4,1,100,0,0,48,4800,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1187749,2017000339323,5,100,1,2017011877491,0.679,48,113,2307,230748,1,2,22,840,1440,9993,66600,9999999,6,6,8,4,4,2,3,131,0,3,301,2,13,6,1,100,1,100,48,4800,0,0,2,23,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1151072,2017000888650,2,265,1,2017011510721,0.679,47,0,1100,110047,1,1,13,0,1320,9993,100000,150000,5,7,3,4,4,2,1,265,0,1,101,2,46,1,1,100,0,0,21,2100,0,0,6,63,0,0,1,10,2,453,2,22,6,40,0,20000,9,5,0,0
2017,201701,1314851,2017001154928,3,23,9,2017013148511,0.679,51,0,51096,5109651,1,1,13,0,1560,9993,64300,100000,5,1,4,4,6,6,1,23,1,1,101,2,75,4,2,200,0,0,37,3700,0,0,6,63,0,0,1,10,2,356,2,27,6,29,0,13000,44,6,4,4
2017,201701,481886,2017000716037,3,41,3,2017004818861,0.679,18,97,2304,230418,1,2,22,560,1200,720,32100,9999999,4,4,1,3,2,1,1,41,2,1,101,2,53,3,1,100,0,0,18,1800,0,0,6,63,0,0,1,10,2,29,2,22,6,39,0,24800,72,3,0,0
2017,201701,111514,2017000448934,3,227,1,2017001115141,0.679,6,37,3767,376706,1,1,13,0,960,240,213200,600000,7,3,3,5,2,3,2,204,1,2,201,2,59,1,1,100,1,100,6,600,0,0,6,63,0,0,1,10,2,389,2,22,6,40,0,40000,44,0,0,0
2017,201701,1205498,2017000589620,2,49,1,2017012054981,0.679,48,329,3000,300048,1,1,13,0,1080,360,126000,165000,4,6,3,4,2,3,1,50,0,1,101,1,58,1,2,200,0,0,48,4800,0,0,6,64,0,0,1,10,2,804,2,22,5,65,0,102000,15,5,0,0
2017,201701,595957,2017001358641,2,114,2,2017005959571,0.679,24,33,1107,110724,1,2,22,1300,840,480,29300,9999999,5,6,7,3,2,1,2,189,0,3,301,1,27,6,2,200,0,0,24,2400,0,0,7,71,0,0,1,10,2,889,2,22,6,40,0,28000,8,0,0,0
2017,201701,429109,2017000450012,2,66,1,2017004291091,0.679,17,113,2000,200017,1,1,13,0,600,360,96000,220000,9,9,3,5,2,2,2,78,0,2,201,1,23,1,1,100,0,0,17,1700,0,0,8,81,0,0,1,10,2,344,2,22,6,40,0,32000,44,0,0,0
2017,201701,151211,2017000861314,3,50,1,2017001512111,0.679,6,67,6711,671106,1,1,13,0,3000,9993,58900,275000,6,5,3,4,4,4,1,50,0,1,101,1,70,1,2,200,0,0,17,1700,0,0,7,71,0,0,3,30,1,999,0,0,0,0,0,0,0,5,0,0
2017,201701,263142,2017000412402,1,76,4,2017002631421,0.679,11,1,105,10511,1,2,22,2000,840,9993,90000,9999999,1,7,10,1,4,9,1,75,0,1,101,1,37,6,1,100,0,0,457,45730,2,2003,11,114,21,2102,1,10,2,229,2,22,6,40,0,90000,65,3,0,0
2017,201701,90829,2017000234092,4,60,1,2017000908291,0.679,6,73,7303,730306,1,1,13,0,1080,9993,148500,420000,4,4,3,3,2,4,2,57,2,2,201,2,44,1,1,100,1,100,6,600,0,0,11,114,26,2602,1,12,2,157,2,27,6,40,0,71000,72,0,0,0
2017,201701,1175391,2017000165738,2,73,3,2017011753911,0.679,48,367,2400,240048,1,1,12,0,1200,9993,8700,8000,5,5,1,4,4,9,1,73,1,1,101,2,88,5,1,100,0,0,48,4800,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,7,0,0
2017,201701,327047,2017001020883,2,58,9,2017003270471,0.679,12,57,5704,570412,1,1,12,0,1440,9993,16200,260000,6,5,3,5,4,2,2,62,0,11,1114,2,41,4,1,100,0,0,465,46547,2,2001,6,63,0,0,1,10,2,487,1,14,6,30,0,8100,18,0,0,0
2017,201701,123598,2017000574555,5,39,9,2017001235981,0.679,6,37,3751,375106,1,1,13,0,9993,720,109000,550000,5,7,4,5,2,2,4,44,0,7,701,1,23,6,7,700,1,100,6,600,0,0,6,63,0,0,1,12,2,453,2,22,6,40,0,15000,9,0,0,4
2017,201701,531648,2017000383341,4,125,9,2017005316481,0.679,21,0,1500,150021,1,2,22,500,1440,360,70000,9999999,4,6,6,3,4,1,3,158,0,3,301,1,15,6,1,100,1,100,21,2100,0,0,2,25,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0
2017,201701,889264,2017001316665,4,36,1,2017008892641,0.679,36,13,2600,260036,1,1,13,0,1200,2400,97000,96000,5,7,1,4,3,6,2,23,2,2,201,1,54,1,1,100,0,0,42,4200,0,0,6,63,0,0,1,10,2,453,2,22,6,40,0,41200,9,0,0,0
2017,201701,414391,2017000044763,1,74,4,2017004143911,0.679,17,31,3523,352317,1,2,22,400,600,480,15000,9999999,3,4,10,2,2,1,1,73,0,1,101,1,41,4,2,200,0,0,17,1700,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,2,0,0
2017,201701,1103401,2017000558010,1,98,4,2017011034011,0.679,44,7,103,10344,1,1,12,0,9993,9993,0,11000,5,6,5,3,1,9,1,98,0,1,101,1,61,6,2,200,0,0,17,1700,0,0,11,114,55,5506,3,30,1,999,0,0,0,0,0,0,0,1,0,0
2017,201701,447789,2017000970364,3,137,1,2017004477891,0.679,17,31,3529,352917,1,1,13,0,840,3360,12080,125000,6,1,3,4,2,1,3,233,0,3,301,2,40,6,2,200,0,0,17,1700,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,962988,2017000267901,2,133,1,2017009629881,0.679,39,0,3200,320039,1,1,13,0,2040,960,226000,215000,8,7,3,5,2,3,1,133,0,1,101,1,62,1,1,100,0,0,39,3900,0,0,11,114,23,2309,1,10,2,14,2,28,6,40,0,92000,72,6,0,0
2017,201701,127019,2017000610622,3,39,2,2017001270191,0.679,6,111,11102,1110206,1,1,13,0,720,360,119600,650000,5,18,3,4,2,2,2,40,1,5,501,2,68,2,4,410,0,0,500,50040,2,1984,8,81,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,278513,2017000212702,4,188,9,2017002785131,0.679,12,95,9505,950512,1,1,13,0,1680,9993,34000,153000,6,6,3,5,4,2,1,187,1,1,101,2,37,4,1,100,0,0,25,2500,0,0,6,63,0,0,3,30,1,376,2,22,4,40,0,24000,44,1,4,4
2017,201701,549206,2017000158261,2,14,1,2017005492061,0.679,22,0,700,70022,1,2,22,530,600,9993,6060,9999999,5,5,7,3,4,1,2,12,0,2,201,2,54,1,1,100,0,0,37,3700,0,0,8,81,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,529819,2017000244845,4,106,1,2017005298191,0.679,21,15,2500,250021,1,1,13,0,1680,960,161000,170000,7,7,3,5,2,4,1,106,2,1,101,2,49,1,1,100,0,0,21,2100,0,0,11,114,23,2399,1,10,2,156,2,27,6,45,0,60000,72,6,0,0
2017,201701,1194563,2017000434776,3,45,1,2017011945631,0.679,48,29,5909,590948,1,1,12,0,1080,9993,78400,190000,6,9,3,4,4,9,1,45,0,1,101,1,85,1,1,100,1,100,48,4800,0,0,7,71,0,0,3,30,1,999,0,0,0,0,0,0,0,4,0,0
2017,201701,1220779,2017000800862,2,97,1,2017012207791,0.679,48,157,4902,490248,1,1,13,0,2160,9993,219000,200000,10,5,3,4,4,2,2,77,0,2,201,2,70,1,1,100,0,0,48,4800,0,0,6,63,0,0,1,10,2,458,2,22,6,30,0,35000,17,0,0,0
2017,201701,1065190,2017000595957,3,19,1,2017010651901,0.679,42,0,400,40042,1,1,13,0,1560,9993,146960,80000,9,3,3,4,5,3,1,19,1,1,101,2,53,1,1,100,0,0,42,4200,0,0,6,63,0,0,1,10,2,303,2,22,6,37,0,32400,68,6,0,0
2017,201701,459394,2017001291024,2,62,1,2017004593941,0.679,17,0,800,80017,1,1,12,0,2160,9993,26800,40000,4,1,3,3,3,1,1,61,0,1,101,1,83,1,1,100,0,0,17,1700,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,7,0,0
2017,201701,460389,2017001320602,2,294,1,2017004603891,0.679,17,43,3203,320317,1,1,13,0,600,360,119600,500000,7,7,3,5,2,1,1,294,0,1,101,1,68,1,6,610,0,0,521,52100,2,1975,10,101,24,2406,1,10,2,22,2,22,6,40,0,90000,68,6,0,0
