Date,Open,High,Low,Close,Volume
02/14/2025,"186.83","188.15","186.11","186.87","12,714,150"
02/13/2025,"185.93","187.99","184.88","187.88","12,729,330"
02/12/2025,"185.23","186.83","183.63","185.43","17,632,311"
02/11/2025,"186.84","188.80","186.08","187.07","13,028,100"
02/10/2025,"189.06","189.99","187.61","188.20","16,606,020"
02/07/2025,"192.74","193.02","185.10","187.14","29,565,721"
02/06/2025,"190.99","193.83","190.49","193.31","20,816,590"
02/05/2025,"193.10","194.55","189.91","193.30","43,719,594"
02/04/2025,"204.50","208.70","204.26","207.71","28,285,439"
02/03/2025,"202.22","205.22","201.66","202.64","16,719,471"
01/31/2025,"203.72","207.08","203.58","205.60","17,087,340"
01/30/2025,"199.76","203.24","199.47","202.63","14,571,480"
01/29/2025,"197.37","198.46","195.19","197.18","12,287,820"
01/28/2025,"194.65","197.23","192.61","197.07","15,939,160"
01/27/2025,"194.19","198.67","192.70","193.77","24,970,170"
01/24/2025,"199.85","202.57","199.78","201.90","12,732,380"
01/23/2025,"199.98","201.94","196.82","199.58","15,170,840"
01/22/2025,"200.55","202.12","199.20","200.03","15,477,380"
01/21/2025,"200.51","203.84","199.44","199.63","19,005,230"
01/17/2025,"198.05","198.81","195.31","197.55","22,109,131"
01/16/2025,"195.83","196.98","194.30","194.41","13,449,580"
01/15/2025,"194.35","197.80","193.33","196.98","12,894,880"
01/14/2025,"192.50","193.27","189.64","191.05","13,651,180"
01/13/2025,"191.35","192.49","188.66","192.29","13,169,060"
01/10/2025,"195.42","197.62","191.60","193.17","20,753,789"
01/08/2025,"193.95","197.64","193.75","195.39","14,335,340"
01/07/2025,"198.27","202.14","195.94","196.71","16,966,760"
01/06/2025,"195.15","199.56","195.06","197.96","19,483,320"
01/03/2025,"192.73","194.50","191.35","193.13","12,874,960"
01/02/2025,"191.49","193.20","188.71","190.63","17,545,160"
