Week,DollarsPerGallon
1/15/2024,3.058
1/8/2024,3.073
1/1/2024,3.089
12/25/2023,3.116
12/18/2023,3.053
12/11/2023,3.136
12/4/2023,3.231
11/27/2023,3.238
11/20/2023,3.289
11/13/2023,3.349
11/6/2023,3.396
10/30/2023,3.473
10/23/2023,3.533
10/16/2023,3.576
10/9/2023,3.684
10/2/2023,3.798
9/25/2023,3.837
9/18/2023,3.878
9/11/2023,3.822
9/4/2023,3.807
8/28/2023,3.813
8/21/2023,3.868
8/14/2023,3.85
8/7/2023,3.828
7/31/2023,3.757
7/24/2023,3.596
7/17/2023,3.559
7/10/2023,3.546
7/3/2023,3.527
6/26/2023,3.571
6/19/2023,3.577
6/12/2023,3.595
6/5/2023,3.541
5/29/2023,3.571
5/22/2023,3.534
5/15/2023,3.536
5/8/2023,3.533
5/1/2023,3.6
4/24/2023,3.656
4/17/2023,3.663
4/10/2023,3.596
4/3/2023,3.497
3/27/2023,3.421
3/20/2023,3.422
3/13/2023,3.456
3/6/2023,3.389
2/27/2023,3.342
2/20/2023,3.379
2/13/2023,3.39
2/6/2023,3.444
1/30/2023,3.489
1/23/2023,3.415
1/16/2023,3.31
1/9/2023,3.259
1/2/2023,3.223
12/26/2022,3.091
12/19/2022,3.12
12/12/2022,3.239
12/5/2022,3.39
11/28/2022,3.534
11/21/2022,3.648
11/14/2022,3.762
11/7/2022,3.796
10/31/2022,3.742
10/24/2022,3.769
10/17/2022,3.871
10/10/2022,3.912
10/3/2022,3.782
9/26/2022,3.711
9/19/2022,3.654
9/12/2022,3.69
9/5/2022,3.746
8/29/2022,3.827
8/22/2022,3.88
8/15/2022,3.938
8/8/2022,4.038
8/1/2022,4.192
7/25/2022,4.33
7/18/2022,4.49
7/11/2022,4.646
7/4/2022,4.771
6/27/2022,4.872
6/20/2022,4.962
6/13/2022,5.006
6/6/2022,4.876
5/30/2022,4.624
5/23/2022,4.593
5/16/2022,4.491
5/9/2022,4.328
5/2/2022,4.182
4/25/2022,4.107
4/18/2022,4.066
4/11/2022,4.091
4/4/2022,4.17
3/28/2022,4.231
3/21/2022,4.239
3/14/2022,4.315
3/7/2022,4.102
2/28/2022,3.608
2/21/2022,3.53
2/14/2022,3.487
2/7/2022,3.444
1/31/2022,3.368
1/24/2022,3.323
1/17/2022,3.306
1/10/2022,3.295
1/3/2022,3.281
12/27/2021,3.275
12/20/2021,3.295
12/13/2021,3.315
12/6/2021,3.341
11/29/2021,3.38
11/22/2021,3.395
11/15/2021,3.399
11/8/2021,3.41
11/1/2021,3.39
10/25/2021,3.383
10/18/2021,3.322
10/11/2021,3.267
10/4/2021,3.19
9/27/2021,3.175
9/20/2021,3.184
9/13/2021,3.165
9/6/2021,3.176
8/30/2021,3.139
8/23/2021,3.145
8/16/2021,3.174
8/9/2021,3.172
8/2/2021,3.159
7/26/2021,3.136
7/19/2021,3.153
7/12/2021,3.133
7/5/2021,3.122
6/28/2021,3.091
6/21/2021,3.06
6/14/2021,3.069
6/7/2021,3.035
5/31/2021,3.027
5/24/2021,3.02
5/17/2021,3.028
5/10/2021,2.961
5/3/2021,2.89
4/26/2021,2.872
4/19/2021,2.855
4/12/2021,2.849
4/5/2021,2.857
3/29/2021,2.852
3/22/2021,2.865
3/15/2021,2.853
3/8/2021,2.771
3/1/2021,2.711
2/22/2021,2.633
2/15/2021,2.501
2/8/2021,2.461
2/1/2021,2.409
1/25/2021,2.392
1/18/2021,2.379
1/11/2021,2.317
1/4/2021,2.249
12/28/2020,2.243
12/21/2020,2.224
12/14/2020,2.158
12/7/2020,2.156
11/30/2020,2.12
11/23/2020,2.102
11/16/2020,2.111
11/9/2020,2.096
11/2/2020,2.112
10/26/2020,2.143
10/19/2020,2.15
10/12/2020,2.167
10/5/2020,2.172
9/28/2020,2.169
9/21/2020,2.168
9/14/2020,2.183
9/7/2020,2.211
8/31/2020,2.222
8/24/2020,2.182
8/17/2020,2.166
8/10/2020,2.166
8/3/2020,2.176
7/27/2020,2.175
7/20/2020,2.186
7/13/2020,2.195
7/6/2020,2.177
6/29/2020,2.174
6/22/2020,2.129
6/15/2020,2.098
6/8/2020,2.036
6/1/2020,1.974
5/25/2020,1.96
5/18/2020,1.878
5/11/2020,1.851
5/4/2020,1.789
4/27/2020,1.773
4/20/2020,1.812
4/13/2020,1.853
4/6/2020,1.924
3/30/2020,2.005
3/23/2020,2.12
3/16/2020,2.248
3/9/2020,2.375
3/2/2020,2.423
2/24/2020,2.466
2/17/2020,2.428
2/10/2020,2.419
2/3/2020,2.455
1/27/2020,2.506
1/20/2020,2.537
1/13/2020,2.57
1/6/2020,2.578
12/30/2019,2.571
12/23/2019,2.532
12/16/2019,2.536
12/9/2019,2.561
12/2/2019,2.575
11/25/2019,2.579
11/18/2019,2.592
11/11/2019,2.615
11/4/2019,2.605
10/28/2019,2.596
10/21/2019,2.638
10/14/2019,2.629
10/7/2019,2.645
9/30/2019,2.642
9/23/2019,2.654
9/16/2019,2.552
9/9/2019,2.55
9/2/2019,2.563
8/26/2019,2.574
8/19/2019,2.598
8/12/2019,2.624
8/5/2019,2.688
7/29/2019,2.715
7/22/2019,2.75
7/15/2019,2.779
7/8/2019,2.743
7/1/2019,2.713
6/24/2019,2.654
6/17/2019,2.67
6/10/2019,2.732
6/3/2019,2.807
5/27/2019,2.822
5/20/2019,2.852
5/13/2019,2.866
5/6/2019,2.897
4/29/2019,2.887
4/22/2019,2.841
4/15/2019,2.828
4/8/2019,2.745
4/1/2019,2.691
3/25/2019,2.623
3/18/2019,2.548
3/11/2019,2.471
3/4/2019,2.422
2/25/2019,2.39
2/18/2019,2.317
2/11/2019,2.276
2/4/2019,2.254
1/28/2019,2.256
1/21/2019,2.251
1/14/2019,2.247
1/7/2019,2.237
12/31/2018,2.266
12/24/2018,2.321
12/17/2018,2.369
12/10/2018,2.421
12/3/2018,2.451
11/26/2018,2.539
11/19/2018,2.611
11/12/2018,2.686
11/5/2018,2.753
10/29/2018,2.811
10/22/2018,2.841
10/15/2018,2.879
10/8/2018,2.903
10/1/2018,2.866
9/24/2018,2.844
9/17/2018,2.841
9/10/2018,2.833
9/3/2018,2.824
8/27/2018,2.827
8/20/2018,2.821
8/13/2018,2.843
8/6/2018,2.852
7/30/2018,2.846
7/23/2018,2.831
7/16/2018,2.865
7/9/2018,2.857
7/2/2018,2.844
6/25/2018,2.833
6/18/2018,2.879
6/11/2018,2.911
6/4/2018,2.94
5/28/2018,2.962
5/21/2018,2.923
5/14/2018,2.873
5/7/2018,2.845
4/30/2018,2.846
4/23/2018,2.798
4/16/2018,2.747
4/9/2018,2.694
4/2/2018,2.7
3/26/2018,2.648
3/19/2018,2.598
3/12/2018,2.559
3/5/2018,2.56
2/26/2018,2.548
2/19/2018,2.557
2/12/2018,2.607
2/5/2018,2.637
1/29/2018,2.607
1/22/2018,2.567
1/15/2018,2.557
1/8/2018,2.522
1/1/2018,2.52
12/25/2017,2.472
12/18/2017,2.45
12/11/2017,2.485
12/4/2017,2.5
11/27/2017,2.533
11/20/2017,2.568
11/13/2017,2.592
11/6/2017,2.561
10/30/2017,2.488
10/23/2017,2.479
10/16/2017,2.489
10/9/2017,2.504
10/2/2017,2.565
9/25/2017,2.583
9/18/2017,2.634
9/11/2017,2.685
9/4/2017,2.679
8/28/2017,2.399
8/21/2017,2.36
8/14/2017,2.384
8/7/2017,2.378
7/31/2017,2.352
7/24/2017,2.312
7/17/2017,2.278
7/10/2017,2.297
7/3/2017,2.26
6/26/2017,2.288
6/19/2017,2.318
6/12/2017,2.366
6/5/2017,2.414
5/29/2017,2.406
5/22/2017,2.399
5/15/2017,2.369
5/8/2017,2.372
5/1/2017,2.411
4/24/2017,2.449
4/17/2017,2.436
4/10/2017,2.424
4/3/2017,2.36
3/27/2017,2.315
3/20/2017,2.321
3/13/2017,2.323
3/6/2017,2.341
2/27/2017,2.314
2/20/2017,2.302
2/13/2017,2.307
2/6/2017,2.293
1/30/2017,2.296
1/23/2017,2.326
1/16/2017,2.358
1/9/2017,2.388
1/2/2017,2.377
12/26/2016,2.309
12/19/2016,2.264
12/12/2016,2.236
12/5/2016,2.208
11/28/2016,2.154
11/21/2016,2.155
11/14/2016,2.184
11/7/2016,2.233
10/31/2016,2.23
10/24/2016,2.243
10/17/2016,2.257
10/10/2016,2.272
10/3/2016,2.245
9/26/2016,2.224
9/19/2016,2.225
9/12/2016,2.202
9/5/2016,2.223
8/29/2016,2.237
8/22/2016,2.193
8/15/2016,2.149
8/8/2016,2.15
8/1/2016,2.159
7/25/2016,2.182
7/18/2016,2.23
7/11/2016,2.253
7/4/2016,2.291
6/27/2016,2.329
6/20/2016,2.353
6/13/2016,2.399
6/6/2016,2.381
5/30/2016,2.339
5/23/2016,2.3
5/16/2016,2.242
5/9/2016,2.22
5/2/2016,2.24
4/25/2016,2.162
4/18/2016,2.137
4/11/2016,2.069
4/4/2016,2.083
3/28/2016,2.066
3/21/2016,2.007
3/14/2016,1.961
3/7/2016,1.841
2/29/2016,1.783
2/22/2016,1.73
2/15/2016,1.724
2/8/2016,1.759
2/1/2016,1.822
1/25/2016,1.856
1/18/2016,1.914
1/11/2016,1.996
1/4/2016,2.028
12/28/2015,2.034
12/21/2015,2.026
12/14/2015,2.037
12/7/2015,2.053
11/30/2015,2.059
