Date,Open,High,Low,Close,Volume
01/31/2025,"247.19","247.19","233.44","236.00","101,075,102"
01/30/2025,"238.67","240.79","237.21","237.59","55,658,281"
01/29/2025,"234.12","239.86","234.01","239.36","45,486,102"
01/28/2025,"230.85","240.19","230.81","238.26","75,707,570"
01/27/2025,"224.02","232.15","223.98","229.86","94,863,422"
01/24/2025,"224.78","225.63","221.41","222.78","54,697,910"
01/23/2025,"224.74","227.03","222.30","223.66","60,234,762"
01/22/2025,"219.79","224.12","219.79","223.83","64,126,500"
01/21/2025,"224.00","224.42","219.38","222.64","98,070,430"
01/17/2025,"232.12","232.29","228.48","229.98","68,488,305"
01/16/2025,"237.35","238.01","228.03","228.26","71,759,047"
01/15/2025,"234.64","238.96","234.43","237.87","39,831,969"
01/14/2025,"234.75","236.12","232.47","233.28","39,435,289"
01/13/2025,"233.53","234.67","229.72","234.40","49,630,727"
01/10/2025,"240.01","240.16","233.00","236.85","61,710,859"
01/08/2025,"241.92","243.71","240.05","242.70","37,628,941"
01/07/2025,"242.98","245.55","241.35","242.21","40,855,961"
01/06/2025,"244.31","247.33","243.20","245.00","45,045,566"
01/03/2025,"243.36","244.18","241.89","243.36","40,244,113"
01/02/2025,"248.93","249.10","241.82","243.85","55,740,727"
12/31/2024,"252.44","253.28","249.43","250.42","39,480,719"
12/30/2024,"252.23","253.50","250.75","252.20","35,557,539"
12/27/2024,"257.83","258.70","253.06","255.59","42,355,320"
12/26/2024,"258.19","260.10","257.63","259.02","27,262,980"
12/24/2024,"255.49","258.21","255.29","258.20","23,234,711"
12/23/2024,"254.77","255.65","253.45","255.27","40,858,770"
12/20/2024,"248.04","255.00","245.69","254.49","147,495,297"
12/19/2024,"247.50","252.00","247.09","249.79","60,882,262"
12/18/2024,"252.16","254.28","247.74","248.05","56,774,102"
12/17/2024,"250.08","253.83","249.78","253.48","51,356,359"
12/16/2024,"247.99","251.38","247.65","251.04","51,694,754"
12/13/2024,"247.82","249.29","246.24","248.13","33,155,289"
12/12/2024,"246.89","248.74","245.68","247.96","32,777,531"
12/11/2024,"247.96","250.80","246.26","246.49","45,205,809"
12/10/2024,"246.89","248.21","245.34","247.77","36,914,809"
12/09/2024,"241.83","247.24","241.75","246.75","44,649,230"
12/06/2024,"242.91","244.63","242.08","242.84","36,870,621"
12/05/2024,"243.99","244.54","242.13","243.04","40,033,879"
12/04/2024,"242.87","244.11","241.25","243.01","44,383,941"
12/03/2024,"239.81","242.76","238.90","242.65","38,861,020"
12/02/2024,"237.27","240.79","237.16","239.59","48,137,102"
11/29/2024,"234.81","237.81","233.97","237.33","28,481,381"
11/27/2024,"234.47","235.69","233.81","234.93","33,498,441"
11/26/2024,"233.33","235.57","233.33","235.06","45,986,191"
11/25/2024,"231.46","233.25","229.74","232.87","90,152,828"
11/22/2024,"228.06","230.72","228.06","229.87","38,168,246"
11/21/2024,"228.88","230.16","225.71","228.52","42,108,328"
11/20/2024,"228.06","229.93","225.89","229.00","35,169,566"
11/19/2024,"226.98","230.16","226.66","228.28","36,211,770"
11/18/2024,"225.25","229.74","225.17","228.02","44,686,020"
11/15/2024,"226.40","226.92","224.27","225.00","47,923,699"
11/14/2024,"225.02","228.87","225.00","228.22","44,923,941"
11/13/2024,"224.01","226.65","222.76","225.12","48,566,219"
11/12/2024,"224.55","225.59","223.36","224.23","40,398,301"
11/11/2024,"225.00","225.70","221.50","224.23","42,005,602"
11/08/2024,"227.17","228.66","226.41","226.96","38,328,820"
11/07/2024,"224.63","227.88","224.57","227.48","42,137,688"
11/06/2024,"222.61","226.07","221.19","222.72","54,561,121"
11/05/2024,"221.80","223.95","221.14","223.45","28,111,340"
11/04/2024,"220.99","222.79","219.71","222.01","44,944,473"
11/01/2024,"220.97","225.35","220.27","222.91","65,276,738"
10/31/2024,"229.34","229.83","225.37","225.91","64,370,090"
10/30/2024,"232.61","233.47","229.55","230.10","47,070,910"
10/29/2024,"233.10","234.33","232.32","233.67","35,417,246"
