Date,Year,Month,Day,Open,High,Low,Close
1/25/23,2023,1,Wednesday,33538.36,33773.09,33273.21,33743.84
1/24/23,2023,1,Tuesday,33444.72,33782.92,33310.56,33733.96
1/23/23,2023,1,Monday,33439.56,33782.88,33316.25,33629.56
1/20/23,2023,1,Friday,33073.46,33381.95,32948.93,33375.49
1/19/23,2023,1,Thursday,33171.35,33227.49,32982.05,33044.56
1/18/23,2023,1,Wednesday,33948.49,34016.53,33269.9,33296.96
1/17/23,2023,1,Tuesday,34222.32,34269.97,33860.67,33910.85
1/13/23,2023,1,Friday,34075.31,34342.32,33915.49,34302.61
1/12/23,2023,1,Thursday,34047.86,34292.67,33792.1,34189.97
1/11/23,2023,1,Wednesday,33754.03,33974.69,33711.04,33973.01
1/10/23,2023,1,Tuesday,33516.43,33726.54,33421.8,33704.1
1/9/23,2023,1,Monday,33664.39,33935.11,33487.66,33517.65
1/6/23,2023,1,Friday,33055.3,33710.66,32997.39,33630.61
1/5/23,2023,1,Thursday,33191.72,33191.72,32812.33,32930.08
1/4/23,2023,1,Wednesday,33165.14,33409.1,33033.48,33269.77
1/3/23,2023,1,Tuesday,33148.9,33387.52,32850.57,33136.37
12/30/22,2022,12,Friday,33121.61,33152.55,32847.82,33147.25
12/29/22,2022,12,Thursday,33021.43,33293.42,33020.35,33220.8
12/28/22,2022,12,Wednesday,33264.76,33379.55,32869.15,32875.71
12/27/22,2022,12,Tuesday,33224.23,33387.72,33069.58,33241.56
12/23/22,2022,12,Friday,32961.06,33226.14,32814.02,33203.93
12/22/22,2022,12,Thursday,33233.35,33233.35,32573.43,33027.49
12/21/22,2022,12,Wednesday,33028.09,33437.84,33028.09,33376.48
12/20/22,2022,12,Tuesday,32735.24,32992.23,32649.45,32849.74
12/19/22,2022,12,Monday,32921.45,33038.94,32581.97,32757.54
12/16/22,2022,12,Friday,33166.46,33166.46,32654.59,32920.46
12/15/22,2022,12,Thursday,33773,33773,33016.16,33202.22
12/14/22,2022,12,Wednesday,34086.07,34395.65,33704.17,33966.35
12/13/22,2022,12,Tuesday,34268.44,34712.28,33890.88,34108.64
12/12/22,2022,12,Monday,33519.5,34005.04,33519.5,34005.04
12/9/22,2022,12,Friday,33746.71,33844.63,33462.65,33476.46
12/8/22,2022,12,Thursday,33695.97,33899.17,33642.46,33781.48
12/7/22,2022,12,Wednesday,33556.4,33774.27,33503.67,33597.92
12/6/22,2022,12,Tuesday,33936.87,34006.63,33418.59,33596.34
12/5/22,2022,12,Monday,34335.73,34335.73,33846.81,33947.1
12/2/22,2022,12,Friday,34265.45,34483.21,34039.73,34429.88
12/1/22,2022,12,Thursday,34533.59,34595.51,34129.35,34395.01
11/30/22,2022,11,Wednesday,33795.43,34589.77,33583.77,34589.77
11/29/22,2022,11,Tuesday,33847.8,33933.91,33662.45,33852.53
11/28/22,2022,11,Monday,34275.91,34303.88,33799.35,33849.46
11/25/22,2022,11,Friday,34213.04,34386.51,34199.57,34347.03
11/23/22,2022,11,Wednesday,34091.57,34262.07,34004.64,34194.06
11/22/22,2022,11,Tuesday,33810.05,34115.7,33810.05,34098.1
11/21/22,2022,11,Monday,33760.3,33864.59,33559.18,33700.28
11/18/22,2022,11,Friday,33606.59,33827.94,33540.64,33745.69
11/17/22,2022,11,Thursday,33329.27,33616.02,33239.75,33546.32
11/16/22,2022,11,Wednesday,33554.93,33682.83,33516.99,33553.83
11/15/22,2022,11,Tuesday,33755.94,33987.06,33320.2,33592.92
11/14/22,2022,11,Monday,33662.05,33964.3,33533.96,33536.7
11/11/22,2022,11,Friday,33797.75,33817.96,33394.43,33747.86
11/10/22,2022,11,Thursday,33263.91,33727.73,33167.82,33715.37
11/9/22,2022,11,Wednesday,33004.47,33065.11,32478.87,32513.94
11/8/22,2022,11,Tuesday,32934.56,33355.39,32831.46,33160.83
11/7/22,2022,11,Monday,32454.1,32895.59,32424.99,32827
11/4/22,2022,11,Friday,32265.01,32611.52,31938.92,32403.22
11/3/22,2022,11,Thursday,31985.05,32185.71,31727.05,32001.25
11/2/22,2022,11,Wednesday,32576.28,33071.93,32139.77,32147.76
