Date,Open,High,Low,Close,Volume
09/30/2024,"163.32","166.15","163.26","165.85","20,481,301"
09/27/2024,"162.81","165.70","162.63","163.95","21,101,311"
09/26/2024,"163.64","164.08","162.28","162.73","20,319,340"
09/25/2024,"161.47","162.81","161.30","161.49","18,869,199"
09/24/2024,"163.03","163.22","160.69","162.29","23,332,150"
09/23/2024,"164.35","165.49","161.67","161.85","24,150,850"
09/20/2024,"163.50","163.73","162.06","163.59","40,896,441"
09/19/2024,"163.71","163.79","161.34","162.14","26,587,730"
09/18/2024,"159.86","160.50","158.60","159.81","23,677,320"
09/17/2024,"159.02","160.55","158.38","159.32","20,715,609"
09/16/2024,"157.31","158.25","156.60","158.06","18,379,779"
09/13/2024,"155.43","158.38","155.21","157.46","29,591,150"
09/12/2024,"153.80","154.82","152.65","154.69","29,695,051"
09/11/2024,"149.92","151.50","147.52","151.16","29,607,689"
09/10/2024,"150.45","151.27","148.34","148.66","31,118,770"
09/09/2024,"152.51","153.40","147.22","148.71","39,260,449"
09/06/2024,"157.30","157.83","150.55","150.92","37,912,129"
09/05/2024,"156.30","159.45","155.98","157.24","18,688,750"
09/04/2024,"156.66","159.00","155.96","156.45","19,353,760"
09/03/2024,"161.72","161.85","156.48","157.36","38,925,500"
08/30/2024,"162.62","163.66","161.69","163.38","22,123,811"
08/29/2024,"164.31","165.97","160.25","161.78","19,699,770"
08/28/2024,"165.04","165.60","161.53","162.85","16,407,439"
08/27/2024,"165.84","166.44","164.46","164.68","11,821,940"
08/26/2024,"166.38","167.55","164.46","166.16","14,190,420"
08/23/2024,"164.72","166.18","163.83","165.62","13,955,740"
08/22/2024,"167.26","167.59","163.31","163.80","22,493,279"
08/21/2024,"165.15","166.85","164.67","165.85","22,902,000"
08/20/2024,"166.90","168.64","166.82","167.18","18,341,529"
08/19/2024,"165.28","166.69","164.26","166.67","22,416,189"
08/16/2024,"161.47","165.06","161.13","162.96","24,208,650"
08/15/2024,"160.50","161.64","159.61","161.30","31,524,250"
08/14/2024,"162.40","163.22","157.71","160.37","40,591,129"
08/13/2024,"163.41","164.73","162.97","164.16","18,551,689"
08/12/2024,"164.35","164.90","161.84","162.29","15,895,290"
08/09/2024,"160.01","163.79","159.06","163.67","28,602,289"
08/08/2024,"160.51","163.69","160.21","162.03","25,578,840"
08/07/2024,"161.25","162.98","158.47","158.94","25,138,570"
08/06/2024,"159.33","160.57","156.41","158.29","49,004,559"
08/05/2024,"155.50","164.43","154.93","159.25","53,630,672"
08/02/2024,"166.44","168.51","164.67","166.66","29,130,100"
08/01/2024,"170.25","174.05","168.88","170.76","24,531,391"
07/31/2024,"173.24","174.25","170.01","171.54","25,729,090"
07/30/2024,"170.24","171.23","168.44","170.29","18,959,689"
07/29/2024,"168.83","170.43","167.99","169.53","20,293,820"
07/26/2024,"167.15","168.09","164.06","167.00","41,336,887"
07/25/2024,"172.52","173.42","167.19","167.28","44,851,969"
07/24/2024,"173.60","176.19","171.82","172.63","49,585,199"
07/23/2024,"182.05","183.61","181.54","181.79","36,352,711"
07/22/2024,"180.59","182.70","180.23","181.67","24,100,350"
07/19/2024,"178.88","180.29","177.13","177.66","18,881,891"
07/18/2024,"181.93","182.50","176.47","177.69","25,315,730"
07/17/2024,"182.97","183.55","179.90","181.02","20,734,070"
07/16/2024,"187.36","188.68","183.37","183.92","18,290,721"
07/15/2024,"184.92","188.24","184.92","186.53","16,474,039"
07/12/2024,"185.08","187.11","184.49","185.07","22,898,410"
07/11/2024,"189.85","190.86","185.08","185.57","25,625,779"
07/10/2024,"189.15","191.75","189.03","191.18","15,952,450"
07/09/2024,"190.31","191.36","188.72","188.98","15,141,310"
07/08/2024,"189.90","190.17","187.78","189.03","21,035,891"
07/05/2024,"185.86","190.86","185.80","190.60","20,967,449"
07/03/2024,"184.85","186.09","184.00","185.82","10,242,130"
07/02/2024,"182.05","185.57","181.56","185.24","17,372,490"
07/01/2024,"183.03","183.88","181.30","182.99","16,006,130"
06/28/2024,"184.32","185.13","181.96","182.15","29,156,641"
06/27/2024,"184.18","186.05","184.02","185.41","18,848,881"
06/26/2024,"182.63","184.51","182.48","183.88","19,838,971"
06/25/2024,"179.62","184.29","179.42","184.03","23,235,590"
06/24/2024,"180.16","180.89","178.67","179.22","18,298,010"
06/21/2024,"177.00","180.85","176.61","179.63","58,582,738"
06/20/2024,"175.37","177.29","174.99","176.30","20,160,090"
06/18/2024,"177.14","177.39","174.10","175.09","21,869,859"
06/17/2024,"175.46","178.36","174.81","177.24","19,618,500"
06/14/2024,"174.22","177.06","174.15","176.79","18,063,561"
06/13/2024,"176.11","176.74","174.88","175.16","20,913,301"
06/12/2024,"178.25","180.41","176.11","177.79","27,864,740"
06/11/2024,"176.22","176.84","173.77","176.62","21,540,580"
06/10/2024,"174.97","177.06","172.76","175.01","23,779,221"
06/07/2024,"177.05","177.87","174.30","174.46","19,661,400"
06/06/2024,"175.90","177.15","175.75","176.73","23,251,010"
06/05/2024,"175.20","176.65","173.93","175.41","22,068,520"
06/04/2024,"173.28","173.85","171.89","173.79","26,879,600"
06/03/2024,"172.54","174.53","171.16","173.17","27,459,119"
05/31/2024,"171.86","173.06","169.44","172.50","37,638,879"
05/30/2024,"175.20","175.22","171.79","172.11","22,958,680"
05/29/2024,"175.43","176.84","174.72","175.90","23,388,689"
05/28/2024,"174.45","177.27","174.37","176.40","20,572,160"
05/24/2024,"174.98","175.77","173.65","174.99","16,579,439"
05/23/2024,"177.07","178.25","172.95","173.55","21,024,939"
05/22/2024,"176.64","177.15","175.21","176.38","17,880,039"
05/21/2024,"176.90","178.15","175.81","177.85","16,989,369"
05/20/2024,"176.19","178.77","176.08","176.92","22,554,400"
05/17/2024,"174.18","176.27","173.69","176.06","24,479,260"
05/16/2024,"173.29","175.12","172.69","174.18","27,867,949"
05/15/2024,"170.63","172.65","170.51","172.51","26,948,369"
05/14/2024,"169.77","171.25","168.80","170.34","25,127,141"
05/13/2024,"164.26","169.28","164.00","169.14","31,327,600"
05/10/2024,"168.03","169.85","166.19","168.65","29,799,930"
05/09/2024,"169.39","170.69","168.18","169.96","15,346,700"
05/08/2024,"169.00","170.15","168.74","169.38","19,569,150"
05/07/2024,"168.50","171.76","168.39","171.25","28,039,699"
05/06/2024,"167.46","168.14","166.03","168.10","21,871,279"
05/03/2024,"167.56","167.96","163.05","167.24","34,662,434"
05/02/2024,"164.79","166.73","163.89","166.62","24,294,551"
05/01/2024,"164.30","167.12","163.09","163.86","33,493,148"
04/30/2024,"165.61","168.10","162.60","162.78","33,562,859"
04/29/2024,"169.06","169.55","165.21","166.15","45,610,020"
04/26/2024,"174.37","174.71","169.65","171.95","64,665,301"
04/25/2024,"151.33","156.49","150.87","156.00","57,109,727"
04/24/2024,"157.49","159.57","157.17","159.13","22,779,109"
04/23/2024,"156.96","158.97","156.28","158.26","21,151,570"
04/22/2024,"154.31","157.64","154.06","156.28","26,446,211"
04/19/2024,"156.20","156.36","152.30","154.09","32,615,641"
04/18/2024,"155.34","156.94","154.62","156.01","19,883,039"
04/17/2024,"155.62","157.08","154.58","155.47","21,763,131"
04/16/2024,"154.19","155.65","153.43","154.40","20,779,500"
04/15/2024,"158.86","159.24","154.59","154.86","27,136,471"
04/12/2024,"157.96","160.22","157.14","157.73","25,353,750"
04/11/2024,"156.91","159.68","156.46","159.41","27,166,430"
04/10/2024,"156.21","156.61","154.68","156.14","22,838,631"
04/09/2024,"156.09","158.56","155.19","156.60","31,113,010"
04/08/2024,"152.78","155.27","152.61","154.85","20,701,971"
04/05/2024,"150.03","153.42","149.60","152.50","23,459,250"
04/04/2024,"153.50","154.77","150.45","150.53","34,724,738"
04/03/2024,"153.60","155.08","152.73","154.92","24,704,990"
04/02/2024,"153.50","154.70","152.15","154.56","24,585,990"
04/01/2024,"150.69","155.74","150.61","155.49","31,730,850"
03/28/2024,"150.85","151.43","150.17","150.93","24,485,391"
03/27/2024,"151.18","151.64","148.90","150.87","22,879,180"
03/26/2024,"150.22","152.26","149.98","150.67","22,149,141"
03/25/2024,"149.94","150.38","147.82","150.07","19,229,289"
03/22/2024,"149.12","151.58","148.98","150.77","29,211,770"
03/21/2024,"149.47","150.37","146.90","147.60","24,755,600"
03/20/2024,"148.00","148.86","146.74","148.74","21,311,500"
03/19/2024,"148.16","148.79","146.08","147.03","24,070,439"
03/18/2024,"148.61","152.15","147.17","147.68","69,273,695"
03/15/2024,"142.50","143.18","140.03","141.18","49,475,422"
03/14/2024,"141.19","143.59","140.46","143.10","42,753,391"
03/13/2024,"139.00","141.09","138.99","139.79","23,347,211"
03/12/2024,"137.03","139.38","137.03","138.50","27,563,350"
03/11/2024,"136.13","139.10","136.13","137.67","32,437,770"
03/08/2024,"134.21","138.09","134.00","135.41","39,370,391"
03/07/2024,"132.80","134.94","131.61","134.38","37,738,207"
03/06/2024,"133.12","133.58","130.85","131.40","35,318,609"
03/05/2024,"131.88","133.24","130.67","132.67","40,194,762"
03/04/2024,"135.66","135.66","131.91","133.35","55,999,422"
03/01/2024,"138.43","138.87","136.92","137.14","31,151,119"
02/29/2024,"137.28","138.86","136.40","138.46","42,132,953"
02/28/2024,"137.90","138.01","135.41","136.38","37,328,559"
02/27/2024,"138.02","139.25","137.09","138.88","33,099,191"
02/26/2024,"142.14","142.44","137.39","137.57","53,641,801"
02/23/2024,"143.67","144.68","143.43","143.96","19,493,750"
02/22/2024,"144.93","145.00","142.80","144.09","27,191,891"
02/21/2024,"141.45","142.69","140.68","142.55","23,315,689"
02/20/2024,"139.66","142.08","139.49","141.12","24,935,711"
02/16/2024,"142.99","143.19","140.14","140.52","31,468,930"
02/15/2024,"143.14","143.52","140.46","142.77","37,590,699"
02/14/2024,"146.08","146.52","144.09","145.94","22,704,170"
02/13/2024,"144.92","146.67","143.69","145.14","27,837,730"
02/12/2024,"148.42","149.34","147.37","147.53","21,564,090"
02/09/2024,"146.68","149.44","146.18","149.00","26,829,500"
02/08/2024,"145.83","146.33","145.11","145.91","22,563,760"
02/07/2024,"144.76","145.62","143.93","145.54","25,208,859"
02/06/2024,"144.65","145.36","143.19","144.10","29,128,199"
02/05/2024,"142.82","145.47","142.78","143.68","38,505,406"
02/02/2024,"139.26","142.62","136.50","142.38","62,499,566"
02/01/2024,"142.12","143.06","140.79","141.16","40,466,551"
01/31/2024,"143.62","144.00","139.87","140.10","71,910,039"
01/30/2024,"152.80","153.62","151.19","151.46","36,331,832"
01/29/2024,"152.06","153.78","151.43","153.51","27,784,260"
01/26/2024,"151.10","152.54","151.01","152.19","26,115,490"
01/25/2024,"150.07","153.05","149.54","151.87","29,149,070"
01/24/2024,"148.54","149.86","148.10","148.70","25,233,449"
01/23/2024,"145.89","147.18","145.50","147.04","21,636,131"
01/22/2024,"147.10","148.39","145.84","145.99","32,200,369"
01/19/2024,"144.74","146.45","144.38","146.38","34,271,871"
01/18/2024,"142.05","144.21","141.99","143.48","25,746,420"
01/17/2024,"141.35","141.84","138.90","141.47","20,968,650"
01/16/2024,"142.00","144.35","141.45","142.49","22,670,471"
01/12/2024,"142.67","143.20","141.82","142.65","18,785,510"
01/11/2024,"143.49","145.22","140.64","142.08","24,008,721"
01/10/2024,"141.00","143.00","140.91","142.28","21,320,199"
01/09/2024,"138.50","141.49","138.15","140.95","24,759,600"
