PLAYER,POSITION,TEAM,SALARY
De'Andre Hunter,SF,Atlanta Hawks,9.835881
Jalen Johnson,SF,Atlanta Hawks,2.79264
AJ Griffin,SF,Atlanta Hawks,3.53616
Trent Forrest,SG,Atlanta Hawks,0.508891
John Collins,PF,Atlanta Hawks,23.5
Trae Young,PG,Atlanta Hawks,37.0965
Vit Krejci,PG,Atlanta Hawks,1.563518
Jarrett Culver,SF,Atlanta Hawks,0.260295
Aaron Holiday,PG,Atlanta Hawks,1.968175
Tyrese Martin,SG,Atlanta Hawks,1.017781
Dejounte Murray,SG,Atlanta Hawks,17.07112
Onyeka Okongwu,C,Atlanta Hawks,6.39516
Clint Capela,C,Atlanta Hawks,18.206896
Donovan Williams,SG,Atlanta Hawks,0.239822
Mike Muscala,C,Boston Celtics,3.5
Derrick White,SG,Boston Celtics,17.142857
Justin Champagnie,SF,Boston Celtics,0.853241
Mfiondu Kabengele,PF,Boston Celtics,0.508891
JD Davison,SG,Boston Celtics,0.508891
Robert Williams,C,Boston Celtics,10.714287
Grant Williams,PF,Boston Celtics,4.306281
Marcus Smart,PG,Boston Celtics,17.207142
Al Horford,C,Boston Celtics,26.5
Jaylen Brown,SF,Boston Celtics,29.776785
Noah Vonleh,C,Boston Celtics,1.160955
Justin Jackson,SF,Boston Celtics,1.83609
Malcolm Brogdon,PG,Boston Celtics,22.6
Blake Griffin,C,Boston Celtics,2.905851
Sam Hauser,SF,Boston Celtics,1.637966
Jayson Tatum,SF,Boston Celtics,30.35178
Luke Kornet,C,Boston Celtics,2.133278
Payton Pritchard,PG,Boston Celtics,2.2392
Mikal Bridges,SF,Brooklyn Nets,20.1
Spencer Dinwiddie,SG,Brooklyn Nets,19.5
Day'Ron Sharpe,C,Brooklyn Nets,2.10948
Edmond Sumner,SG,Brooklyn Nets,1.968175
Kessler Edwards,SF,Brooklyn Nets,1.637966
Yuta Watanabe,SF,Brooklyn Nets,1.968175
Joe Harris,SF,Brooklyn Nets,18.642857
Cam Thomas,SG,Brooklyn Nets,2.13816
Dorian Finney-Smith,PF,Brooklyn Nets,12.939848
Markieff Morris,PF,Brooklyn Nets,2.905851
Kevin Durant,PF,Brooklyn Nets,44.119845
Seth Curry,SG,Brooklyn Nets,8.496653
Alondes Williams,SG,Brooklyn Nets,0.254446
Kyrie Irving,PG,Brooklyn Nets,38.917057
